what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422633985490
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1422633985490
java.vm.specification.version,sysinfo,,,"1.7",1422633985490
java.vm.vendor,sysinfo,,,"Oracle Corporation",1422633985490
java.vm.version,sysinfo,,,"24.71-b01",1422633985490
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1422634148947
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422634148947
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634157558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634159633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634163923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634184687
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1422634187323
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1422634188696
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634192268
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634210021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634216682
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634881212
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422634881415
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422634881493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422634891274
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422636099826
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1422636121775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422636124006
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422636124240
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1422636142539
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1422636194690
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422636197654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422636197903
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1422636205844
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1422636205875
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1422636205875
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1422636205953
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1422636205953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422636211117
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1422636212646
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1422636352562
