what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1417771899563
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1417771899579
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1417771899579
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1417771899657
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1417771899657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417771900000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417771945521
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417771984599
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417771999544
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1417772002570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772002929
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772014879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772017828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772022477
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1417772033179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417772039013
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1417772043787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772045004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772045222
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417772056688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772088351
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772091853
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417772185350
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1417772187893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772188252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772197581
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772222128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772235217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417772239382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772257462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772260083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417772281377
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1417772283686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772284014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772291611
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417772308070
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1417772311362
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1417772311362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417772321270
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1417772324795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772325154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772342880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417772353473
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417773622827
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417773628822
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417775387327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417775995931
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417775996181
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417776006337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417776876912
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417776879314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417779023665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417779023821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417779025927
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417779026099
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1417779026457
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1417779026457
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1417779026473
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1419087386955
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1419087386955
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1419087386955
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1419087386955
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1419087386955
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1419087386955
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1419087386955
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1419087386955
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1419087386955
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1419087386955
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1419087386965
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1419087386965
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1419087386965
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1419087386965
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1419087386965
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1419087386965
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1419087386965
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1419087386965
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1419087386965
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1419087386965
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1419087386965
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1419087386965
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1419087386965
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1419087386965
