what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1424332998654
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1424332998655
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1424332998784
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1424332998872
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1424332998874
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1424332998887
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1424332998888
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1424332998955
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1424332998956
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1424332998956
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1424332998974
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1424332998974
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1424332998975
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1424332998976
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1424332998994
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1424332999034
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1424332999035
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1424332999036
os,sysinfo,,,"win32",1424332999052
arch,sysinfo,,,"x86",1424332999052
ws,sysinfo,,,"win32",1424332999052
locale,sysinfo,,,"en_US",1424332999052
processors,sysinfo,,,"4",1424332999052
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424332999052
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1424332999052
java.specification.name,sysinfo,,,"Java Platform API Specification",1424332999052
java.specification.vendor,sysinfo,,,"Oracle Corporation",1424332999052
java.specification.version,sysinfo,,,"1.7",1424332999052
java.vendor,sysinfo,,,"Oracle Corporation",1424332999052
java.version,sysinfo,,,"1.7.0_71",1424332999052
java.vm.info,sysinfo,,,"mixed mode, sharing",1424332999052
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424332999052
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424332999052
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1424332999052
java.vm.specification.version,sysinfo,,,"1.7",1424332999052
java.vm.vendor,sysinfo,,,"Oracle Corporation",1424332999052
java.vm.version,sysinfo,,,"24.71-b01",1424332999052
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1424332999225
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1424332999739
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1424332999884
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1424332999899
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1424332999960
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1424333000162
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1424333000214
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1424333000328
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1424333000337
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1424333000372
