what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1417594498483
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1417594498514
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1417594498514
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1417594498514
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1417594498530
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1417594498530
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1417594498530
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1417594498530
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1417594498546
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1417594498546
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1417594498546
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1417594498546
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1417594498546
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1417594498546
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1417594498561
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1417594498561
os,sysinfo,,,"win32",1417594498561
arch,sysinfo,,,"x86",1417594498561
ws,sysinfo,,,"win32",1417594498561
locale,sysinfo,,,"en_US",1417594498561
processors,sysinfo,,,"4",1417594498561
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1417594498561
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1417594498561
java.specification.name,sysinfo,,,"Java Platform API Specification",1417594498561
java.specification.vendor,sysinfo,,,"Oracle Corporation",1417594498561
java.specification.version,sysinfo,,,"1.7",1417594498561
java.vendor,sysinfo,,,"Oracle Corporation",1417594498561
java.version,sysinfo,,,"1.7.0_71",1417594498561
java.vm.info,sysinfo,,,"mixed mode, sharing",1417594498561
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1417594498561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1417594498561
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1417594498561
java.vm.specification.version,sysinfo,,,"1.7",1417594498561
java.vm.vendor,sysinfo,,,"Oracle Corporation",1417594498561
java.vm.version,sysinfo,,,"24.71-b01",1417594498561
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1417594498608
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1417594498811
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1417594498889
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1417594498967
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1417594499029
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1417594499372
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1417594499560
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1417594499716
